game_key,app_id,title,issue_type,issue_description,recommended_exclusion_flag
13e1b29505c4,,Brothers - A Tale of Two Sons,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
46f796a545dc,,NBA 2K17,Missing reference price,Revenue scenario cannot be calculated,1
46f796a545dc,,NBA 2K17,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
9064ba230658,,despelote,Low-owner estimate,SteamSpy estimates are less reliable for small/new titles,0
9064ba230658,,despelote,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
601d8838438b,,F1 2017,Missing reference price,Revenue scenario cannot be calculated,1
601d8838438b,,F1 2017,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
2afd5d3d57ab,,Rhell,Low-owner estimate,SteamSpy estimates are less reliable for small/new titles,0
2afd5d3d57ab,,Rhell,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
79d9aecbde3f,,Lonely Mountains: Snow Riders,Low-owner estimate,SteamSpy estimates are less reliable for small/new titles,0
79d9aecbde3f,,Lonely Mountains: Snow Riders,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
f9ed6c75e710,,OlliOlli World,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
c800ab4e555e,,F1 2019,Missing reference price,Revenue scenario cannot be calculated,1
c800ab4e555e,,F1 2019,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
e8f7edd865a5,,Out of the Park Baseball 18,Missing reference price,Revenue scenario cannot be calculated,1
e8f7edd865a5,,Out of the Park Baseball 18,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
58a4099b4ee3,,F1 2016,Missing reference price,Revenue scenario cannot be calculated,1
58a4099b4ee3,,F1 2016,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
56bd3ab0160e,,Football Manager 2019,Missing reference price,Revenue scenario cannot be calculated,1
56bd3ab0160e,,Football Manager 2019,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
1a870cd456c8,,F1 2021,Missing reference price,Revenue scenario cannot be calculated,1
1a870cd456c8,,F1 2021,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
1ea100c751c1,,DiRT Rally,Missing reference price,Revenue scenario cannot be calculated,1
1ea100c751c1,,DiRT Rally,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
cd10d2ff00b0,,Rocket League,Missing reference price,Revenue scenario cannot be calculated,1
cd10d2ff00b0,,Rocket League,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
789404fa0888,,Assetto Corsa,Low-owner estimate,SteamSpy estimates are less reliable for small/new titles,0
789404fa0888,,Assetto Corsa,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
69e7bae2eec3,,Football Manager 2022,Missing reference price,Revenue scenario cannot be calculated,1
69e7bae2eec3,,Football Manager 2022,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
b5a4f04f824d,,Knockout League - Arcade VR Boxing,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
ddc8b7b97ce6,,GT Legends,Low-owner estimate,SteamSpy estimates are less reliable for small/new titles,0
ddc8b7b97ce6,,GT Legends,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
f16ef7000606,,Sprint Vector,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
f6217fc6eb8f,,SpeedRunners,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
c5fb926edbe9,,The Sims Legacy Collection,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
e66789fba8f5,,Thief Gold,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
64a1beaba2e3,,Against the Storm,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
075c1b7a817f,,Microsoft Flight Simulator 40th Anniversary Edition,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
afe22891669c,,The Sims 2 Legacy Collection,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
2bf2de8e1fe9,,Silent Hunter III,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
d56d305b2dea,,Opus Magnum,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
7c867bb864db,,I Expect You To Die 3: Cog in the Machine,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
70b55be0a6e5,,Kynseed,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
74030c8f0606,,Pinball FX3,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
6417547eb491,,Rise of Nations: Extended Edition,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
2438617c3623,,Stardew Valley,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
f5ff4a51392e,,TrainClicker,Low-owner estimate,SteamSpy estimates are less reliable for small/new titles,0
f5ff4a51392e,,TrainClicker,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
dd9056484759,,Combat Mission 2,Low-owner estimate,SteamSpy estimates are less reliable for small/new titles,0
dd9056484759,,Combat Mission 2,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
f157e03410dc,,Mewgenics,Low-owner estimate,SteamSpy estimates are less reliable for small/new titles,0
f157e03410dc,,Mewgenics,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
8516b58c638d,,Cabernet,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
