game_key,app_id,title,genre,genre_count_observed,genre_weight_observed,source_rank,attributed_revenue_base,inclusive_revenue_base,commercial_success_flag,source_url,observed_price_usd,owners_range_observed,score_percent_observed,owners_midpoint
559371a57f1f,,Batman: Arkham City - Game of the Year Edition,Adventure,1,1,18,41978999.99999999,41978999.99999999,1,https://steamspy.com/genre/Adventure,19.99,"2,000,000 .. 5,000,000",0.91,3500000
c77582dfec22,,Dishonored,Adventure,1,1,19,20979000,20979000,1,https://steamspy.com/genre/Adventure,9.99,"2,000,000 .. 5,000,000",0.91,3500000
8fa20336a6f6,,METAL GEAR SOLID V: THE PHANTOM PAIN,Adventure,1,1,20,37778999.99999999,37778999.99999999,1,https://steamspy.com/genre/Adventure,17.99,"2,000,000 .. 5,000,000",0.91,3500000
e1d80bb6fba0,,Resident Evil 4,Adventure,1,1,21,179955000,179955000,1,https://steamspy.com/genre/Adventure,39.99,"5,000,000 .. 10,000,000",0.91,7500000
7124818ef795,,Satisfactory,Adventure,3,0.3333333333333333,22,83969999.99999997,251909999.99999994,1,https://steamspy.com/genre/Adventure,27.99,"10,000,000 .. 20,000,000",0.91,15000000
fcd9a9090ca8,,Mission: It's Complicated,Adventure,2,0.5,23,0,0,0,https://steamspy.com/genre/Adventure,0,"0 .. 20,000",0.91,10000
023e7df320d9,,The Longest Journey,Adventure,1,1,24,2097900,2097900,1,https://steamspy.com/genre/Adventure,9.99,"200,000 .. 500,000",0.91,350000
223a4adaeebd,,Batman: Arkham City,Adventure,1,1,25,179550,179550,0,https://steamspy.com/genre/Adventure,3.99,"50,000 .. 100,000",0.91,75000
eb4f6d95d13b,,Divinity: Original Sin - Enhanced Edition,Indie,4,0.25,1,8997750,35991000,1,https://steamspy.com/genre/Indie,39.99,"1,000,000 .. 2,000,000",0.94,1500000
4a2be44aeabe,,Hades II,Indie,3,0.3333333333333333,2,20993000,62979000,1,https://steamspy.com/genre/Indie,29.99,"2,000,000 .. 5,000,000",0.94,3500000
933241e31f38,,Cobalt Core,Indie,2,0.5,3,899549.9999999999,1799099.9999999998,1,https://steamspy.com/genre/Indie,19.99,"100,000 .. 200,000",0.94,150000
4a56bafad301,,Tetris Effect: Connected,Indie,1,1,4,17995500,17995500,1,https://steamspy.com/genre/Indie,39.99,"500,000 .. 1,000,000",0.93,750000
60a4454144da,,Dwarf Fortress,Indie,2,0.5,5,31489500,62979000,1,https://steamspy.com/genre/Indie,29.99,"2,000,000 .. 5,000,000",0.93,3500000
71744f54654b,,Beat Saber,Indie,1,1,6,62979000,62979000,1,https://steamspy.com/genre/Indie,29.99,"2,000,000 .. 5,000,000",0.93,3500000
3cc262dce7e3,,Hades,Indie,3,0.3333333333333333,7,37484999.99999999,112454999.99999999,1,https://steamspy.com/genre/Indie,6.24,"5,000,000 .. 10,000,000",0.93,7500000
0e5c0be038be,,Undertale,Indie,1,1,8,11205000,11205000,1,https://steamspy.com/genre/Indie,2.49,"5,000,000 .. 10,000,000",0.92,7500000
b1165a838c4e,,Out of the Park Baseball 17,Indie,4,0.25,9,0,,,https://steamspy.com/genre/Indie,,"50,000 .. 100,000",0.92,75000
5f2c754f573b,,Galactic Civilizations II: Ultimate Edition,Indie,2,0.5,10,2247750,4495500,1,https://steamspy.com/genre/Indie,4.99,"500,000 .. 1,000,000",0.92,750000
559989f38173,,Blue Prince,Indie,3,0.3333333333333333,11,1259299.9999999998,3777899.9999999995,1,https://steamspy.com/genre/Indie,17.99,"200,000 .. 500,000",0.92,350000
abace6eae675,,BZZZT,Indie,1,1,12,323100,323100,0,https://steamspy.com/genre/Indie,3.59,"100,000 .. 200,000",0.91,150000
2c373b6b0af8,,Tumblestone,Indie,2,0.5,13,280800,561600,0,https://steamspy.com/genre/Indie,6.24,"100,000 .. 200,000",0.91,150000
c541207bce7a,,I Was a Teenage Exocolonist,Indie,2,0.5,14,2623949.9999999995,5247899.999999999,1,https://steamspy.com/genre/Indie,12.49,"200,000 .. 500,000",0.91,350000
80f6c2cf3190,,UFO 50,Indie,4,0.25,15,562274.9999999999,2249099.9999999995,1,https://steamspy.com/genre/Indie,17.49,"100,000 .. 200,000",0.91,150000
30808097eaa2,,Chained Echoes,Indie,2,0.5,16,2623949.9999999995,5247899.999999999,1,https://steamspy.com/genre/Indie,9.99,"200,000 .. 500,000",0.91,350000
90f9c505c334,,Caves of Qud,Indie,4,0.25,17,1574475,6297900,1,https://steamspy.com/genre/Indie,23.99,"200,000 .. 500,000",0.91,350000
128b3e7ef896,,FEZ,Indie,1,1,18,8991000,8991000,1,https://steamspy.com/genre/Indie,9.99,"1,000,000 .. 2,000,000",0.91,1500000
15e7be4d53ae,,Mark of the Ninja,Indie,2,0.5,19,2245500,4491000,1,https://steamspy.com/genre/Indie,4.99,"1,000,000 .. 2,000,000",0.91,1500000
7e1d9143d6e2,,Spelunky 2,Indie,1,1,20,6291000,6291000,1,https://steamspy.com/genre/Indie,6.99,"1,000,000 .. 2,000,000",0.91,1500000
7124818ef795,,Satisfactory,Indie,3,0.3333333333333333,21,83969999.99999997,251909999.99999994,1,https://steamspy.com/genre/Indie,27.99,"10,000,000 .. 20,000,000",0.91,15000000
fcd9a9090ca8,,Mission: It's Complicated,Indie,2,0.5,22,0,0,0,https://steamspy.com/genre/Indie,0,"0 .. 20,000",0.91,10000
c94981f7a947,,VIDEOVERSE,Indie,2,0.5,23,38970,77940,0,https://steamspy.com/genre/Indie,6.49,"0 .. 20,000",0.9,10000
f01cf2770dde,,Tadpole Treble,Indie,1,1,24,104790.00000000001,104790.00000000001,0,https://steamspy.com/genre/Indie,4.99,"20,000 .. 50,000",0.9,35000
276c4c175cb5,,OPUS: Echo of Starsong,Indie,1,1,25,2097900,2097900,1,https://steamspy.com/genre/Indie,9.99,"200,000 .. 500,000",0.9,350000
